C	inner_split	ndcg_ohc
1	0	0.7186044443628137
1	1	0.7192042139571546
1	2	0.6815396832634711
4	0	0.7194332384562849
4	1	0.7201259672093066
4	2	0.6800144481476899
16	0	0.722349353872824
16	1	0.7172420607773428
16	2	0.6773722996816516
32	0	0.709263843088964
32	1	0.7037414831329927
32	2	0.6558295564238197
64	0	0.6840695514241167
64	1	0.6917668934976198
64	2	0.6472328464878451
128	0	0.6618360886014163
128	1	0.6637918081861254
128	2	0.6416085649106197
256	0	0.6413800299902117
256	1	0.6478358224957722
256	2	0.6074254532108431
