C	inner_split	ndcg_ohc
1	0	0.709537943973285
1	1	0.6855588657454064
1	2	0.6645725513709565
4	0	0.716384062596112
4	1	0.6909305235902654
4	2	0.6647564535463049
16	0	0.7178377628472027
16	1	0.7018226514577679
16	2	0.6748426647490426
32	0	0.7048487424358167
32	1	0.7044628067337635
32	2	0.6761803458819768
64	0	0.7035875064411787
64	1	0.6956728320160634
64	2	0.6652683462402359
128	0	0.6842663433209275
128	1	0.6890614578937985
128	2	0.6598528623729432
256	0	0.6601359877304155
256	1	0.6275756018739872
256	2	0.635886734101054
