C	inner_split	ndcg_ohc
1	0	0.715775531205507
1	1	0.6809664636454595
1	2	0.7119640965712708
4	0	0.7115837429842452
4	1	0.675768537684982
4	2	0.7142922013738768
16	0	0.7194112547213617
16	1	0.6723095619342678
16	2	0.7153920498527928
32	0	0.713301815707821
32	1	0.6693902435898988
32	2	0.71107704107187
64	0	0.6896978765872989
64	1	0.6340672034143768
64	2	0.7000617562134895
128	0	0.678341029287326
128	1	0.6075059711533575
128	2	0.6908323225565263
256	0	0.6410854977185936
256	1	0.5650169667297894
256	2	0.661344224043501
