C	inner_split	ndcg_ohc
1	0	0.7098904618434178
1	1	0.7114719973007514
1	2	0.6720927938646629
4	0	0.7056211991591137
4	1	0.7175973218805797
4	2	0.6732950731745639
16	0	0.70192350852765
16	1	0.7111109226785655
16	2	0.665856376595701
32	0	0.7081666782672498
32	1	0.7049552420575427
32	2	0.6704138416912607
64	0	0.6842131890252311
64	1	0.6894802991474288
64	2	0.6714449663607247
128	0	0.6617239212408904
128	1	0.6610299602669156
128	2	0.6573937533121554
256	0	0.6150835634269082
256	1	0.6098362907723032
256	2	0.6285582123586756
