k	top_acc_perc__casmi	top_acc_perc__csi
1	23.0	23.75
2	35.0	36.333333333333336
3	45.0	44.91666666666667
4	49.0	49.00000000000001
5	53.0	53.70000000000002
6	59.0	59.400000000000006
7	61.0	60.60000000000002
8	64.0	63.800000000000026
9	66.0	66.14285714285717
10	69.0	69.2857142857143
11	69.0	69.59523809523812
12	71.0	70.90476190476193
13	71.0	71.71428571428574
14	73.0	72.52380952380955
15	74.0	73.83333333333336
16	74.0	74.00000000000003
17	74.0	74.50000000000003
18	76.0	76.00000000000003
19	76.0	76.00000000000003
20	76.0	76.00000000000003
21	78.0	78.00000000000003
22	80.0	80.00000000000003
23	80.0	80.00000000000003
24	80.0	80.00000000000003
25	80.0	80.33333333333336
26	81.0	81.00000000000003
27	83.0	82.6666666666667
28	83.0	83.00000000000003
29	83.0	83.00000000000003
30	83.0	83.00000000000003
31	83.0	83.33333333333336
32	84.0	83.66666666666669
33	84.0	84.00000000000001
34	85.0	85.50000000000001
35	86.0	86.00000000000001
36	86.0	86.00000000000001
37	87.0	87.00000000000001
38	87.0	87.00000000000001
39	87.0	87.00000000000001
40	87.0	87.00000000000001
41	87.0	87.00000000000001
42	87.0	87.00000000000001
43	87.0	87.00000000000001
44	87.0	87.33333333333334
45	89.0	88.66666666666667
46	89.0	89.0
47	89.0	89.0
48	89.0	89.0
49	89.0	89.0
50	90.0	90.0
