k	top_acc_perc__casmi	top_acc_perc__csi
1	26.153846153846157	29.978632478632477
2	44.61538461538462	46.623931623931625
3	52.307692307692314	53.78205128205129
4	58.46153846153847	59.401709401709404
5	67.6923076923077	66.43162393162393
6	69.23076923076923	68.33333333333334
7	69.23076923076923	69.46581196581198
8	72.3076923076923	72.90598290598292
9	73.84615384615385	73.84615384615387
10	73.84615384615385	73.84615384615387
11	73.84615384615385	73.84615384615387
12	75.38461538461539	75.64102564102566
13	75.38461538461539	75.89743589743591
14	75.38461538461539	76.15384615384616
15	78.46153846153847	77.94871794871796
16	78.46153846153847	78.2051282051282
17	80.0	80.0
18	80.0	80.0
19	80.0	80.21978021978022
20	81.53846153846153	81.97802197802199
21	81.53846153846153	82.19780219780222
22	83.07692307692308	82.41758241758244
23	83.07692307692308	82.63736263736267
24	83.07692307692308	82.85714285714289
25	83.07692307692308	83.07692307692311
26	83.07692307692308	83.07692307692311
27	83.07692307692308	83.07692307692311
28	83.07692307692308	83.07692307692311
29	83.07692307692308	83.07692307692311
30	83.07692307692308	83.07692307692311
31	83.07692307692308	83.07692307692311
32	83.07692307692308	83.07692307692311
33	84.61538461538461	84.61538461538464
34	84.61538461538461	84.61538461538464
35	84.61538461538461	84.61538461538464
36	86.15384615384616	86.15384615384619
37	86.15384615384616	86.15384615384619
38	86.15384615384616	86.15384615384619
39	86.15384615384616	86.15384615384619
40	87.6923076923077	87.69230769230772
41	87.6923076923077	87.69230769230772
42	87.6923076923077	87.69230769230772
43	87.6923076923077	87.69230769230772
44	87.6923076923077	87.69230769230772
45	87.6923076923077	87.69230769230772
46	87.6923076923077	87.69230769230772
47	87.6923076923077	87.69230769230772
48	87.6923076923077	87.69230769230772
49	87.6923076923077	87.69230769230772
50	87.6923076923077	87.69230769230772
