spectrum	rt	pref_value
EAX019701	5.2	-0.01977872342287368
EAX018701	4.9	-0.08147520549001563
EAX091601	6.9	-0.015397177909064474
EAX069901	12.4	0.0037180910689995628
EAX293601	15.4	0.014096951548238201
EAX281801	10.0	-0.04889375841899968
EAX266801	7.2	-0.13863223911145406
EAX005801	1.7	-0.11837965586921673
EAX294201	7.1	-0.15861854899710548
EAX016001	6.6	-0.10651242553129059
EAX034001	2.4	-0.11450208050368049
EAX027701	10.0	-0.03472167032661355
EAX029401	14.0	-0.038850076473775585
EAX005201	4.4	-0.1733824213005195
EAX013601	2.0	-0.15971218411375876
EAX295501	8.1	-0.06737079783359967
EAX067401	5.9	-0.07199826355678657
EAX285401	9.7	-0.060991455209242484
EAX030301	2.1	0.01181605696603949
EAX023201	10.2	-0.021808615961626865
EAX012401	8.6	0.06204187437905434
EAX029001	4.4	-0.11633042152824302
EAX284101	4.5	-0.188952233081209
EAX033101	4.1	-0.21537553895428663
EAX020201	7.5	-0.05736380448859579
EAX028901	11.7	0.06251147033887558
EAX028701	9.3	0.0055312099684473315
EAX070201	7.0	-0.04947662401237074
EAX066401	4.5	-0.12686985757883495
EAX293401	1.4	-0.21717709846633015
EAX281401	4.4	-0.19367068517065578
EAX025501	10.1	-0.0681452647664873
EAX019001	8.0	-0.007091348686074417
EAX293801	4.3	-0.1419276340644413
EAX280401	8.3	-0.0024848502468433065
EAX271101	6.8	-0.08974825340473314
EAX255501	8.9	-0.022332542311759962
EAX281301	8.5	-0.03307490019328507
EAX270801	6.3	-0.11743837995423445
EAX029201	9.2	-0.08234221035707212
EAX280501	4.0	-0.22041082660191025
EAX015601	8.6	-0.036652084858852296
EAX011701	8.4	0.004062576370131703
EAX030601	8.5	-0.07699604423233719
EAX290301	5.3	-0.06810433350249201
EAX280801	4.5	0.007236174692777819
EAX294501	12.6	0.04163282215113062
EAX069801	7.5	-0.06706523211619175
EAX066701	15.3	0.07968935637219478
EAX032801	5.6	-0.11800427381503331
EAX027601	7.8	-0.05445444374224956
EAX027901	10.1	0.06028223057891213
EAX019101	6.2	-0.006122094248221188
EAX033701	5.6	-0.019369432544474652
EAX286101	4.9	-0.14360014908562446
EAX070001	6.7	-0.12301575754270244
EAX294601	2.9	-0.12200839965025834
EAX009001	7.3	-0.09790470630379522
EAX028401	1.3	-0.16575780728332878
EAX050201	2.2	-0.12313401820202596
EAX264901	11.5	0.049886952052860464
EAX026501	2.6	-0.14062012292045623
EAX066101	5.5	-0.06872379773887538
EAX016901	9.1	0.06979631761829247
EAX274401	6.3	-0.07669929567357381
EAX021301	11.0	-0.08714093741393704
EAX294701	5.2	-0.04405790386150285
EAX293701	4.9	-0.09371769247556694
EAX030201	13.6	-0.10952642747596686
EAX066601	9.5	0.021134101520112886
EAX276101	9.2	0.02846057590274162
EAX258001	10.1	-0.05260815231969329
EAX009701	1.7	-0.1420531322983707
EAX256701	13.0	0.07713086661266888
EAX070601	5.2	-0.04151626471084757
EAX029601	5.0	-0.0669160334544765
EAX261201	1.1	-0.16863770762468544
EAX025301	5.2	-0.03532871204199223
EAX030501	9.3	-0.08572124658075714
EAX012901	9.2	-0.0855972038455407
EAX012501	9.9	-0.04200696670019527
EAX016601	3.6	-0.016505516131821052
EAX024901	7.2	-0.14200536587426804
EAX262601	5.2	-0.11220100422736357
EAX024701	3.5	0.008503074541348132
EAX066901	6.4	-0.07849291817267223
EAX262101	5.7	-0.05909799540312266
EAX010701	8.7	-0.0673215892550702
EAX282201	1.6	-0.14219901551213837
EAX067201	5.2	-0.04554587264817783
EAX293901	14.1	0.014621129482724315
EAX289801	11.4	-0.014692959950467092
EAX099201	10.4	-0.007193763369159445
EAX028501	10.5	-0.060297116113842364
EAX030401	5.7	-0.08123166228948775
EAX016301	3.6	-0.0613875905698984
EAX026601	2.4	-0.03125163306971994
EAX034401	10.3	0.0026646303847053243
EAX070701	1.5	-0.11078550814829402
EAX034701	4.6	-0.1562969437720474
