spectrum	rt	pref_value
EAX032601	4.0	-0.12406278371286228
EAX273801	11.5	0.014986296056097803
EAX030001	5.2	-0.18423267080770422
EAX026501	9.9	-0.026790460310199604
EAX014601	6.9	-0.03098591003750162
EAX026601	12.2	-0.04054107730644779
EAX281401	5.6	-0.032924377426555074
EAX016901	14.4	0.013115426362019234
EAX274401	6.0	0.0010828170208931898
EAX070901	15.0	-0.04553578617374876
EAX270601	7.2	-0.18083313860793715
EAX289801	4.5	-0.11797951889417524
EAX264901	6.6	-0.07309321978756245
EAX295401	9.2	-0.04450177257140353
EAX032501	9.4	-0.04399877800093052
EAX282701	9.4	-0.06040928879475871
EAX267601	8.9	0.02178515750908455
EAX256601	12.5	0.03534295447233449
EAX283001	4.4	-0.18414821183591368
EAX274001	2.0	-0.11134609308275997
EAX016601	1.6	-0.1393178514755638
EAX294401	5.1	-0.06253224673060809
EAX066401	2.2	-0.1944899047300057
EAX281301	3.9	-0.17222414229920036
EAX018101	5.9	-0.09251148549477523
EAX294501	9.7	-0.08591073960736034
EAX029801	10.1	-0.0877220421627376
EAX261001	1.9	-0.07829666021271087
EAX023401	13.1	-0.032464910600448316
EAX274301	8.6	0.04183350061983676
EAX025901	2.9	-0.155630771842736
EAX017201	3.7	-0.17901517045513016
EAX014801	1.6	-0.13959574751643244
EAX273701	6.3	-0.19665166945560308
EAX030501	4.5	-0.18948320544361597
EAX011601	11.7	0.05676831784002878
EAX258301	7.5	-0.015455815676554852
EAX268201	9.3	0.02041807676752777
EAX278301	7.0	-0.062053192253955114
EAX293301	8.5	-0.021312092575592967
EAX015401	8.3	-0.19816041569055232
EAX034201	8.3	0.019947352930757667
EAX066501	4.6	-0.16671292658827497
EAX023901	11.6	0.005728340261877962
EAX025501	8.4	0.030131439362651308
EAX019601	9.8	-0.03338110813968764
EAX017901	11.5	0.01127590187815286
EAX070601	8.8	-0.039908197692618996
EAX028901	4.5	0.017263242535979106
EAX019201	12.6	0.055872679218080146
EAX023601	7.5	-0.08347867258023722
EAX024501	1.1	-0.027491289301691202
EAX278901	1.3	-0.147035423662216
EAX033701	6.7	-0.11637330606239955
EAX021301	7.0	-0.03412384944894553
EAX026901	6.2	0.006939163074090704
EAX295601	5.9	-0.07842341552731757
EAX019001	13.7	-0.052334932815268465
EAX294601	5.5	-0.08118370268709496
EAX028801	11.7	-0.04388578125148978
EAX282001	6.6	-0.0012543331769038768
EAX273901	5.2	-0.05122083359868921
EAX033101	3.0	-0.024494429856960487
EAX290101	1.0	-0.10370442006286984
EAX019101	11.2	-0.06027150576460227
EAX009001	2.2	-0.07700243869634305
EAX270501	1.7	-0.14033314852997458
EAX034001	5.4	-0.0945075113101912
EAX017001	8.3	-0.16284860692108843
EAX277201	9.5	0.11442542045125068
EAX278401	3.4	-0.06963586822207013
EAX008501	5.2	-0.07274651025565437
EAX065801	0.8	-0.08606505494091787
EAX015101	2.4	-0.07337606218462855
EAX034101	8.1	-0.009506009560033085
EAX008601	10.8	-0.14805163187179082
EAX270801	9.0	-0.08339454338801267
EAX292201	1.1	-0.15174632473882266
EAX253601	9.3	-0.09547137734116784
EAX024701	8.0	0.10195254616700425
EAX009601	10.4	0.05930353811292832
EAX008801	10.1	0.009971823512242184
EAX014401	3.6	-0.007109384718624323
EAX012601	7.2	-0.11778999756900771
EAX295801	1.2	-0.11554314158273371
EAX255501	6.5	-0.05476190654510715
EAX021201	4.3	-0.07886286477484306
EAX012401	3.1	-0.16855576458553911
EAX293401	2.9	-0.040476054310551124
EAX013601	1.6	-0.14200819012325777
EAX282501	6.6	-0.05951708233740827
EAX012201	18.1	0.11342971795405088
EAX032901	4.9	-0.05546585176201835
EAX065701	14.1	-0.02984856814213656
EAX008901	10.8	-0.07658404248919601
EAX011201	2.4	-0.02732337678467528
EAX011801	10.3	0.03474677928217096
EAX285701	5.8	-0.0810167551713521
EAX070401	4.6	-0.07458572395217056
EAX256401	9.5	-0.0659571658326077
