spectrum	rt	pref_value
EAX271101	4.9	-0.1990193864859897
EAX267001	8.2	-0.0206433495654057
EAX257201	13.3	0.16749346845080745
EAX282201	4.0	-0.24016916076902284
EAX015601	9.9	-0.017086307708921833
EAX299201	10.0	-0.11106115990280152
EAX282801	15.0	-0.09553887987973475
EAX069801	1.7	-0.19514002709940925
EAX033401	4.5	-0.052358452633377794
EAX270101	7.1	-0.21530967027803882
EAX030501	6.9	-0.022508161210506472
EAX282301	10.9	0.07127405020843725
EAX026901	2.4	-0.06652890081567264
EAX286201	5.8	-0.2979275771933274
EAX277901	2.0	-0.2651024367889965
EAX295501	6.6	-0.1885274862019113
EAX290101	5.7	-0.289386906830309
EAX294001	8.1	-0.20706264981889788
EAX011701	8.5	-0.16169313750901448
EAX105301	1.9	-0.17385442928096495
EAX258301	12.8	0.057679795596531136
EAX280901	14.5	0.06397508329105944
EAX293401	12.1	0.09604469414845399
EAX013401	1.6	-0.08921332896817091
EAX282001	4.4	-0.16689780146615618
EAX295801	1.6	-0.03180483255723665
EAX266601	2.7	-0.07634262312675766
EAX103401	4.1	-0.30328713605789304
EAX066601	10.0	0.03164099799935194
EAX006701	6.7	-0.13816338179431664
EAX016901	11.8	0.1735570051364852
EAX066801	8.5	0.02126742072178267
EAX006901	11.7	0.16028031997541792
EAX018301	4.3	-0.14126257249323615
EAX294701	8.3	0.09365200294072373
EAX294201	8.9	0.13337213766343936
EAX012901	13.0	0.19733713375070572
EAX070101	8.4	0.03088726122175034
EAX008901	11.5	0.1267440764828509
EAX277601	8.8	-0.12675344408307243
EAX285501	9.2	0.007238703580714656
EAX277801	1.1	-0.011614456013069763
EAX285701	14.7	0.08543472860834456
EAX294501	10.1	0.1812862192989746
EAX032601	5.6	0.02722393084325514
EAX276101	3.5	-0.3414246987502203
EAX270601	6.7	-0.2437615079041784
EAX278301	7.6	-0.1566586867475337
EAX020801	1.3	-0.22445959383023606
EAX018701	4.7	-0.06778914024574956
EAX005801	5.5	-0.018575451640728602
EAX023201	8.6	0.07763244813916659
EAX029201	6.3	-0.34196056586174706
EAX270801	4.8	-0.42156840597172973
EAX026001	4.2	-0.10670930159453551
EAX282701	11.2	-0.041175846339988276
EAX020101	6.8	-0.17942576822514944
EAX024201	10.1	-0.056757664569865085
EAX262601	1.7	-0.21303572561935624
EAX282101	12.6	0.2045868480479629
EAX034101	1.0	-0.13614917536782478
EAX264901	6.1	-0.047980144146185566
EAX066001	3.4	-0.1707670137788817
EAX017101	5.2	-0.030179342860868097
EAX024001	5.0	-0.14964357338459244
EAX012501	8.8	-0.007767534787864516
EAX286101	2.4	-0.14090708852106637
EAX029301	10.8	-0.16830361622067258
EAX273401	9.0	-0.09340358568728391
EAX023101	5.2	-0.02141363155362728
EAX014701	4.8	-0.042708778632730926
EAX070801	6.3	-0.1623609025973599
EAX008501	7.8	-0.1528207752730646
EAX282601	13.4	0.0021844196348066447
EAX027401	8.0	0.14314422657386316
EAX278901	10.1	-0.09308213929545328
EAX025401	9.9	-0.03473706576589608
EAX032901	5.2	-0.14974745677828594
EAX285401	1.2	-0.10657833121131688
EAX028901	8.6	-0.10539936565628105
EAX277001	3.5	0.00788510465196346
EAX012601	4.6	-0.14747066908284268
EAX066101	4.6	-0.20582510835309975
EAX012201	4.3	-0.09402012933935744
EAX281801	8.4	-0.01013045567163573
EAX274301	5.7	-0.036725628105848784
EAX016701	11.5	-0.2080734815422396
EAX274001	2.9	-0.013896871902421282
EAX024901	8.7	-0.116696836785984
EAX023001	5.2	-0.2114853226307396
EAX019601	6.6	-0.04297277026532298
EAX070601	16.1	0.09005161449349686
EAX260001	14.1	0.0635174671715375
EAX026801	12.6	0.04036681983797319
EAX293101	3.6	-0.06884169107494209
EAX028701	2.4	-0.09119858871177478
EAX067101	1.5	-0.1098821307647917
EAX273801	4.6	-0.17171038894685609
EAX018901	9.5	-0.14325474513352748
EAX066901	10.2	-0.20332542429441425
