k	top_acc_perc__casmi	top_acc_perc__csi
1	22.0	23.22222222222222
2	26.0	28.27777777777778
3	30.0	33.833333333333336
4	38.0	41.23737373737374
5	46.0	44.64141414141414
6	50.0	49.878787878787875
7	54.0	53.94949494949495
8	56.00000000000001	56.686868686868685
9	57.99999999999999	57.09090909090908
10	57.99999999999999	57.272727272727266
11	57.99999999999999	57.454545454545446
12	57.99999999999999	57.63636363636363
13	60.0	59.818181818181806
14	60.0	61.66666666666666
15	64.0	63.33333333333332
16	64.0	63.99999999999999
17	64.0	64.66666666666666
18	66.0	65.33333333333333
19	66.0	66.25
20	66.0	66.5
21	66.0	66.75
22	66.0	67.0
23	68.0	67.25
24	68.0	68.16666666666667
25	72.0	71.08333333333334
26	72.0	72.00000000000001
27	72.0	72.00000000000001
28	72.0	72.00000000000001
29	72.0	72.33333333333334
30	74.0	74.66666666666667
31	74.0	75.0
32	76.0	76.33333333333333
33	78.0	77.66666666666666
34	78.0	77.99999999999999
35	78.0	77.99999999999999
36	78.0	78.99999999999999
37	80.0	79.99999999999999
38	80.0	79.99999999999999
39	80.0	80.28571428571428
40	80.0	80.57142857142857
41	82.0	82.85714285714286
42	86.0	85.14285714285715
43	86.0	85.42857142857144
44	86.0	85.71428571428574
45	86.0	86.00000000000003
46	86.0	86.00000000000003
47	86.0	86.00000000000003
48	86.0	87.00000000000003
49	88.0	88.00000000000003
50	88.0	88.00000000000003
