k	top_acc_perc__casmi	top_acc_perc__csi
1	23.076923076923077	25.940170940170937
2	35.38461538461539	38.54700854700855
3	49.23076923076923	48.84615384615385
4	52.307692307692314	53.376068376068375
5	56.92307692307692	57.777777777777786
6	60.0	59.61538461538461
7	63.07692307692307	62.99145299145299
8	64.61538461538461	63.93162393162394
9	64.61538461538461	65.51282051282051
10	66.15384615384615	66.92307692307692
11	69.23076923076923	68.84615384615384
12	70.76923076923077	70.76923076923077
13	72.3076923076923	72.3076923076923
14	75.38461538461539	75.38461538461539
15	75.38461538461539	75.76923076923077
16	76.92307692307693	77.6923076923077
17	78.46153846153847	78.33333333333333
18	78.46153846153847	78.97435897435898
19	78.46153846153847	79.23076923076921
20	80.0	80.0
21	81.53846153846153	80.76923076923076
22	81.53846153846153	81.53846153846153
23	81.53846153846153	81.53846153846153
24	83.07692307692308	83.07692307692307
25	83.07692307692308	83.07692307692307
26	83.07692307692308	83.58974358974358
27	84.61538461538461	84.2948717948718
28	84.61538461538461	85.0
29	84.61538461538461	85.1923076923077
30	86.15384615384616	87.6923076923077
31	89.23076923076924	88.65384615384615
32	89.23076923076924	88.84615384615384
33	89.23076923076924	89.03846153846153
34	89.23076923076924	89.23076923076924
35	89.23076923076924	89.23076923076924
36	89.23076923076924	89.23076923076924
37	89.23076923076924	89.23076923076924
38	89.23076923076924	89.23076923076924
39	89.23076923076924	89.23076923076924
40	89.23076923076924	89.23076923076924
41	89.23076923076924	89.23076923076924
42	89.23076923076924	89.23076923076924
43	89.23076923076924	89.23076923076924
44	89.23076923076924	89.23076923076924
45	89.23076923076924	89.23076923076924
46	89.23076923076924	89.23076923076924
47	89.23076923076924	89.23076923076924
48	89.23076923076924	89.23076923076924
49	89.23076923076924	89.23076923076924
50	89.23076923076924	89.23076923076924
