k	top_acc_perc__casmi	top_acc_perc__csi
546	98.0	98.0
547	98.0	98.0
548	98.0	98.0
549	98.0	98.0
550	98.0	98.0
551	98.0	98.0
552	98.0	98.0
553	98.0	98.0
554	98.0	98.0
555	98.0	98.0
556	98.0	98.0
557	98.0	98.0
558	98.0	98.0
559	98.0	98.0
560	98.0	98.0
561	98.0	98.0
562	98.0	98.0
563	98.0	98.0
564	98.0	98.0
565	98.0	98.0
566	98.0	98.0
567	98.0	98.0
568	98.0	98.0
569	98.0	98.0
570	98.0	98.0
571	98.0	98.0
572	98.0	98.0
573	98.0	98.0
574	98.0	98.0
575	98.0	98.0
576	98.0	98.0
577	98.0	98.0
578	98.0	98.0
579	98.0	98.0
580	98.0	98.0
581	98.0	98.0
582	98.0	98.0
583	98.0	98.0
584	98.0	98.0
585	98.0	98.0
586	98.0	98.0
587	98.0	98.0
588	98.0	98.0
589	98.0	98.0
590	98.0	98.0
591	98.0	98.0
592	98.0	98.0
593	98.0	98.0
594	98.0	98.0
595	98.0	98.0
596	98.0	98.0
597	98.0	98.0
598	98.0	98.0
599	98.0	98.0
600	98.0	98.0
601	98.0	98.0
602	98.0	98.0
603	98.0	98.0
604	98.0	98.0
605	98.0	98.0
606	98.0	98.0
607	98.0	98.0
608	98.0	98.0
609	98.0	98.0
610	98.0	98.0
611	98.0	98.0
612	98.0	98.0
613	98.0	98.0
614	98.0	98.0
615	98.0	98.0
616	98.0	98.0
617	98.0	98.0
618	98.0	98.0
619	98.0	98.0
620	98.0	98.0
621	98.0	98.0
622	98.0	98.0
623	98.0	98.0
624	98.0	98.0
625	98.0	98.0
626	98.0	98.0
627	98.0	98.0
628	98.0	98.0
629	98.0	98.0
630	98.0	98.0
631	98.0	98.0
632	98.0	98.0
633	98.0	98.0
634	98.0	98.0
635	98.0	98.0
636	98.0	98.0
637	98.0	98.0
638	98.0	98.0
639	98.0	98.0
640	98.0	98.0
641	98.0	98.0
642	98.0	98.0
643	98.0	98.0
644	98.0	98.0
645	98.0	98.0
646	98.0	98.0
647	98.0	98.0
648	98.0	98.0
649	98.0	98.0
650	98.0	98.0
651	98.0	98.0
652	98.0	98.0
653	98.0	98.0
654	98.0	98.0
655	98.0	98.0
656	98.0	98.0
657	98.0	98.0
658	98.0	98.0
659	98.0	98.0
660	98.0	98.0
661	98.0	98.0
662	98.0	98.0
663	98.0	98.0
664	98.0	98.0
665	98.0	98.0
666	98.0	98.0
667	98.0	98.0
668	98.0	98.0
669	98.0	98.0
670	98.0	98.0
671	98.0	98.0
672	98.0	98.0
673	98.0	98.0
674	98.0	98.0
675	98.0	98.0
676	98.0	98.0
677	98.0	98.0
678	98.0	98.0
679	98.0	98.0
680	98.0	98.0
681	98.0	98.0
682	98.0	98.0
683	98.0	98.0
684	98.0	98.0
685	98.0	98.0
686	98.0	98.0
687	98.0	98.0
688	98.0	98.0
689	98.0	98.0
690	98.0	98.0
691	98.0	98.0
692	98.0	98.0
693	98.0	98.0
694	98.0	98.0
695	98.0	98.0
696	98.0	98.0
697	98.0	98.0
698	98.0	98.0
699	98.0	98.0
700	98.0	98.0
701	98.0	98.0
702	98.0	98.0
703	98.0	98.0
704	98.0	98.0
705	98.0	98.0
706	98.0	98.0
707	98.0	98.0
708	98.0	98.0
709	98.0	98.0
710	98.0	98.0
711	98.0	98.0
712	98.0	98.0
713	98.0	98.0
714	98.0	98.0
715	98.0	98.0
716	98.0	98.0
717	98.0	98.0
718	98.0	98.0
719	98.0	98.0
720	98.0	98.0
721	98.0	98.0
722	98.0	98.0
723	98.0	98.0
724	98.0	98.0
725	98.0	98.0
726	98.0	98.0
727	98.0	98.0
728	98.0	98.0
729	98.0	98.0
730	98.0	98.0
731	98.0	98.0
732	98.0	98.0
733	98.0	98.0
734	98.0	98.0
735	98.0	98.0
736	98.0	98.0
737	98.0	98.0
738	98.0	98.0
739	98.0	98.0
740	98.0	98.0
741	98.0	98.0
742	98.0	98.0
743	98.0	98.0
744	98.0	98.0
745	98.0	98.0
746	98.0	98.0
747	98.0	98.0
748	98.0	98.0
749	98.0	98.0
750	98.0	98.0
751	98.0	98.0
752	98.0	98.0
753	98.0	98.0
754	98.0	98.0
755	98.0	98.0
756	98.0	98.0
757	98.0	98.0
758	98.0	98.0
759	98.0	98.0
760	98.0	98.0
761	98.0	98.0
762	98.0	98.0
763	98.0	98.0
764	98.0	98.0
765	98.0	98.0
766	98.0	98.0
767	98.0	98.0
768	98.0	98.0
769	98.0	98.0
770	98.0	98.0
771	98.0	98.0
772	98.0	98.0
773	98.0	98.0
774	98.0	98.0
775	98.0	98.0
776	98.0	98.0
777	98.0	98.0
778	98.0	98.0
779	98.0	98.0
780	98.0	98.0
781	98.0	98.0
782	98.0	98.0
783	98.0	98.0
784	98.0	98.0
785	98.0	98.0
786	98.0	98.0
787	98.0	98.0
788	98.0	98.0
789	98.0	98.0
790	98.0	98.0
791	98.0	98.0
792	98.0	98.0
793	98.0	98.0
794	98.0	98.0
795	98.0	98.0
796	98.0	98.0
797	98.0	98.0
798	98.0	98.0
799	98.0	98.0
800	98.0	98.0
801	98.0	98.0
802	98.0	98.0
803	98.0	98.0
804	98.0	98.0
805	98.0	98.0
806	98.0	98.0
807	98.0	98.0
808	99.0	99.0
809	99.0	99.0
810	99.0	99.0
811	99.0	99.0
812	99.0	99.0
813	99.0	99.0
814	99.0	99.0
815	99.0	99.0
816	99.0	99.0
817	99.0	99.0
818	99.0	99.0
819	99.0	99.0
820	99.0	99.0
821	99.0	99.0
822	99.0	99.0
823	99.0	99.0
824	99.0	99.0
825	99.0	99.0
826	99.0	99.0
827	99.0	99.0
828	99.0	99.0
829	99.0	99.0
830	99.0	99.0
831	99.0	99.0
832	99.0	99.0
833	99.0	99.0
834	99.0	99.0
835	99.0	99.0
836	99.0	99.0
837	99.0	99.0
838	99.0	99.0
839	99.0	99.0
840	99.0	99.0
841	99.0	99.0
842	99.0	99.0
843	99.0	99.0
844	99.0	99.0
845	99.0	99.0
846	99.0	99.0
847	99.0	99.0
848	99.0	99.0
849	99.0	99.0
850	99.0	99.0
851	99.0	99.0
852	99.0	99.0
853	99.0	99.0
854	99.0	99.0
855	99.0	99.0
856	99.0	99.0
857	99.0	99.0
858	99.0	99.0
859	99.0	99.0
860	99.0	99.0
861	99.0	99.0
862	99.0	99.0
863	99.0	99.0
864	99.0	99.0
865	99.0	99.0
866	99.0	99.0
867	99.0	99.0
868	99.0	99.0
869	99.0	99.0
870	99.0	99.0
871	99.0	99.0
872	99.0	99.0
873	99.0	99.0
874	99.0	99.0
875	99.0	99.0
876	99.0	99.0
877	99.0	99.0
878	99.0	99.0
879	99.0	99.0
880	99.0	99.0
881	99.0	99.0
882	99.0	99.0
883	99.0	99.0
884	99.0	99.0
885	99.0	99.0
886	99.0	99.0
887	99.0	99.0
888	99.0	99.0
889	99.0	99.0
890	99.0	99.0
891	99.0	99.0
892	99.0	99.0
893	99.0	99.0
894	99.0	99.0
895	99.0	99.0
896	99.0	99.0
897	99.0	99.0
898	99.0	99.0
899	99.0	99.0
900	99.0	99.0
901	99.0	99.0
902	99.0	99.0
903	99.0	99.0
904	99.0	99.0
905	99.0	99.0
906	99.0	99.0
907	99.0	99.0
908	99.0	99.0
909	99.0	99.0
910	99.0	99.0
911	99.0	99.0
912	99.0	99.0
913	99.0	99.0
914	99.0	99.0
915	99.0	99.0
916	99.0	99.0
917	99.0	99.0
918	99.0	99.0
919	99.0	99.0
920	99.0	99.0
921	99.0	99.0
