sample_id	sequence_length	dataset	k	n_top_k
0	54	EA_positive	1	24.0
0	54	EA_positive	5	36.0
0	54	EA_positive	10	47.0
0	54	EA_positive	20	50.0
1	41	positive	1	19.0
1	41	positive	5	33.0
1	41	positive	10	36.0
1	41	positive	20	40.0
2	72	EA_positive	1	37.0
2	72	EA_positive	5	54.0
2	72	EA_positive	10	61.0
2	72	EA_positive	20	65.0
3	47	EA_negative	1	20.0
3	47	EA_negative	5	32.0
3	47	EA_negative	10	36.0
3	47	EA_negative	20	40.0
4	41	positive	1	21.0
4	41	positive	5	29.0
4	41	positive	10	36.0
4	41	positive	20	39.0
5	68	EA_positive	1	34.0
5	68	EA_positive	5	48.0
5	68	EA_positive	10	59.0
5	68	EA_positive	20	62.0
6	47	EA_negative	1	20.0
6	47	EA_negative	5	30.0
6	47	EA_negative	10	37.0
6	47	EA_negative	20	41.0
7	54	EA_positive	1	20.0
7	54	EA_positive	5	35.0
7	54	EA_positive	10	47.0
7	54	EA_positive	20	49.0
8	47	EA_negative	1	18.0
8	47	EA_negative	5	29.0
8	47	EA_negative	10	36.0
8	47	EA_negative	20	40.0
9	70	EA_positive	1	35.0
9	70	EA_positive	5	53.0
9	70	EA_positive	10	61.0
9	70	EA_positive	20	63.0
10	55	EA_positive	1	23.0
10	55	EA_positive	5	36.0
10	55	EA_positive	10	43.0
10	55	EA_positive	20	47.0
11	51	EA_positive	1	25.0
11	51	EA_positive	5	35.0
11	51	EA_positive	10	42.0
11	51	EA_positive	20	46.0
12	47	EA_negative	1	21.0
12	47	EA_negative	5	32.0
12	47	EA_negative	10	36.0
12	47	EA_negative	20	42.0
13	53	EA_positive	1	28.0
13	53	EA_positive	5	36.0
13	53	EA_positive	10	45.0
13	53	EA_positive	20	47.0
14	74	EA_positive	1	26.0
14	74	EA_positive	5	49.0
14	74	EA_positive	10	61.0
14	74	EA_positive	20	66.0
15	73	EA_positive	1	33.0
15	73	EA_positive	5	52.0
15	73	EA_positive	10	62.0
15	73	EA_positive	20	66.0
16	53	EA_positive	1	23.0
16	53	EA_positive	5	38.0
16	53	EA_positive	10	47.0
16	53	EA_positive	20	48.0
17	25	negative	1	7.0
17	25	negative	5	12.0
17	25	negative	10	14.0
17	25	negative	20	21.0
18	63	EA_positive	1	27.0
