sample_id	sequence_length	dataset	k	n_top_k	n_trees
3	47	EA_negative	20	39.0	4
3	47	EA_negative	1	19.0	5
3	47	EA_negative	5	30.0	5
3	47	EA_negative	10	34.0	5
3	47	EA_negative	20	40.0	5
3	47	EA_negative	1	19.0	6
3	47	EA_negative	5	30.0	6
3	47	EA_negative	10	34.0	6
3	47	EA_negative	20	39.0	6
3	47	EA_negative	1	19.0	7
3	47	EA_negative	5	30.0	7
3	47	EA_negative	10	34.0	7
3	47	EA_negative	20	39.0	7
3	47	EA_negative	1	19.0	8
3	47	EA_negative	5	30.0	8
3	47	EA_negative	10	34.0	8
3	47	EA_negative	20	39.0	8
3	47	EA_negative	1	19.0	9
3	47	EA_negative	5	30.0	9
3	47	EA_negative	10	34.0	9
3	47	EA_negative	20	39.0	9
3	47	EA_negative	1	19.0	10
3	47	EA_negative	5	30.0	10
3	47	EA_negative	10	34.0	10
3	47	EA_negative	20	39.0	10
3	47	EA_negative	1	19.0	11
3	47	EA_negative	5	30.0	11
3	47	EA_negative	10	34.0	11
3	47	EA_negative	20	39.0	11
3	47	EA_negative	1	19.0	12
3	47	EA_negative	5	30.0	12
3	47	EA_negative	10	34.0	12
3	47	EA_negative	20	39.0	12
3	47	EA_negative	1	19.0	13
3	47	EA_negative	5	30.0	13
3	47	EA_negative	10	34.0	13
3	47	EA_negative	20	39.0	13
3	47	EA_negative	1	19.0	14
3	47	EA_negative	5	30.0	14
3	47	EA_negative	10	34.0	14
3	47	EA_negative	20	39.0	14
3	47	EA_negative	1	19.0	15
3	47	EA_negative	5	30.0	15
3	47	EA_negative	10	34.0	15
3	47	EA_negative	20	39.0	15
3	47	EA_negative	1	19.0	16
3	47	EA_negative	5	30.0	16
3	47	EA_negative	10	34.0	16
3	47	EA_negative	20	39.0	16
3	47	EA_negative	1	19.0	17
3	47	EA_negative	5	30.0	17
3	47	EA_negative	10	34.0	17
3	47	EA_negative	20	39.0	17
3	47	EA_negative	1	19.0	18
3	47	EA_negative	5	30.0	18
3	47	EA_negative	10	34.0	18
3	47	EA_negative	20	39.0	18
3	47	EA_negative	1	19.0	19
3	47	EA_negative	5	30.0	19
3	47	EA_negative	10	34.0	19
3	47	EA_negative	20	39.0	19
3	47	EA_negative	1	19.0	20
3	47	EA_negative	5	30.0	20
3	47	EA_negative	10	34.0	20
3	47	EA_negative	20	39.0	20
3	47	EA_negative	1	19.0	21
3	47	EA_negative	5	30.0	21
3	47	EA_negative	10	34.0	21
3	47	EA_negative	20	39.0	21
3	47	EA_negative	1	19.0	22
3	47	EA_negative	5	30.0	22
3	47	EA_negative	10	34.0	22
3	47	EA_negative	20	39.0	22
3	47	EA_negative	1	19.0	23
3	47	EA_negative	5	30.0	23
3	47	EA_negative	10	34.0	23
3	47	EA_negative	20	39.0	23
3	47	EA_negative	1	19.0	24
3	47	EA_negative	5	30.0	24
3	47	EA_negative	10	34.0	24
3	47	EA_negative	20	39.0	24
3	47	EA_negative	1	19.0	25
3	47	EA_negative	5	30.0	25
3	47	EA_negative	10	34.0	25
3	47	EA_negative	20	39.0	25
3	47	EA_negative	1	19.0	26
3	47	EA_negative	5	30.0	26
3	47	EA_negative	10	34.0	26
3	47	EA_negative	20	39.0	26
3	47	EA_negative	1	19.0	27
3	47	EA_negative	5	30.0	27
3	47	EA_negative	10	34.0	27
3	47	EA_negative	20	39.0	27
3	47	EA_negative	1	19.0	28
3	47	EA_negative	5	30.0	28
3	47	EA_negative	10	34.0	28
3	47	EA_negative	20	39.0	28
3	47	EA_negative	1	19.0	29
3	47	EA_negative	5	30.0	29
3	47	EA_negative	10	34.0	29
3	47	EA_negative	20	39.0	29
3	47	EA_negative	1	19.0	30
3	47	EA_negative	5	30.0	30
3	47	EA_negative	10	34.0	30
3	47	EA_negative	20	39.0	30
3	47	EA_negative	1	19.0	31
3	47	EA_negative	5	30.0	31
3	47	EA_negative	10	34.0	31
3	47	EA_negative	20	39.0	31
3	47	EA_negative	1	19.0	32
3	47	EA_negative	5	30.0	32
3	47	EA_negative	10	34.0	32
3	47	EA_negative	20	39.0	32
4	41	positive	1	18.0	1
4	41	positive	5	31.0	1
4	41	positive	10	36.0	1
4	41	positive	20	38.0	1
4	41	positive	1	20.0	2
4	41	positive	5	32.0	2
4	41	positive	10	36.0	2
4	41	positive	20	39.0	2
4	41	positive	1	20.0	3
4	41	positive	5	32.0	3
4	41	positive	10	36.0	3
4	41	positive	20	39.0	3
4	41	positive	1	21.0	4
4	41	positive	5	32.0	4
4	41	positive	10	36.0	4
4	41	positive	20	40.0	4
4	41	positive	1	20.0	5
4	41	positive	5	32.0	5
4	41	positive	10	36.0	5
4	41	positive	20	40.0	5
4	41	positive	1	21.0	6
4	41	positive	5	32.0	6
4	41	positive	10	36.0	6
4	41	positive	20	39.0	6
4	41	positive	1	21.0	7
4	41	positive	5	33.0	7
4	41	positive	10	36.0	7
4	41	positive	20	39.0	7
4	41	positive	1	21.0	8
4	41	positive	5	33.0	8
4	41	positive	10	36.0	8
4	41	positive	20	39.0	8
4	41	positive	1	21.0	9
4	41	positive	5	33.0	9
4	41	positive	10	36.0	9
4	41	positive	20	39.0	9
4	41	positive	1	21.0	10
4	41	positive	5	32.0	10
4	41	positive	10	36.0	10
4	41	positive	20	39.0	10
4	41	positive	1	21.0	11
4	41	positive	5	33.0	11
4	41	positive	10	36.0	11
4	41	positive	20	39.0	11
4	41	positive	1	21.0	12
4	41	positive	5	33.0	12
4	41	positive	10	36.0	12
4	41	positive	20	39.0	12
4	41	positive	1	21.0	13
4	41	positive	5	33.0	13
4	41	positive	10	36.0	13
4	41	positive	20	39.0	13
4	41	positive	1	21.0	14
4	41	positive	5	33.0	14
4	41	positive	10	36.0	14
4	41	positive	20	39.0	14
4	41	positive	1	21.0	15
4	41	positive	5	33.0	15
4	41	positive	10	36.0	15
4	41	positive	20	39.0	15
4	41	positive	1	21.0	16
4	41	positive	5	33.0	16
4	41	positive	10	36.0	16
4	41	positive	20	39.0	16
4	41	positive	1	21.0	17
4	41	positive	5	33.0	17
4	41	positive	10	36.0	17
4	41	positive	20	39.0	17
4	41	positive	1	21.0	18
4	41	positive	5	33.0	18
4	41	positive	10	36.0	18
4	41	positive	20	39.0	18
4	41	positive	1	21.0	19
4	41	positive	5	33.0	19
4	41	positive	10	36.0	19
4	41	positive	20	39.0	19
4	41	positive	1	21.0	20
4	41	positive	5	33.0	20
4	41	positive	10	36.0	20
4	41	positive	20	39.0	20
4	41	positive	1	21.0	21
4	41	positive	5	33.0	21
4	41	positive	10	36.0	21
4	41	positive	20	39.0	21
4	41	positive	1	21.0	22
4	41	positive	5	33.0	22
4	41	positive	10	36.0	22
4	41	positive	20	39.0	22
4	41	positive	1	21.0	23
4	41	positive	5	33.0	23
4	41	positive	10	36.0	23
4	41	positive	20	39.0	23
4	41	positive	1	21.0	24
4	41	positive	5	33.0	24
4	41	positive	10	36.0	24
4	41	positive	20	39.0	24
4	41	positive	1	21.0	25
4	41	positive	5	33.0	25
4	41	positive	10	36.0	25
4	41	positive	20	39.0	25
4	41	positive	1	21.0	26
4	41	positive	5	33.0	26
4	41	positive	10	36.0	26
4	41	positive	20	39.0	26
4	41	positive	1	21.0	27
4	41	positive	5	33.0	27
4	41	positive	10	36.0	27
4	41	positive	20	39.0	27
4	41	positive	1	21.0	28
4	41	positive	5	33.0	28
4	41	positive	10	36.0	28
4	41	positive	20	39.0	28
4	41	positive	1	21.0	29
4	41	positive	5	33.0	29
4	41	positive	10	36.0	29
4	41	positive	20	39.0	29
4	41	positive	1	21.0	30
4	41	positive	5	33.0	30
4	41	positive	10	36.0	30
4	41	positive	20	39.0	30
4	41	positive	1	21.0	31
4	41	positive	5	33.0	31
4	41	positive	10	36.0	31
4	41	positive	20	39.0	31
4	41	positive	1	21.0	32
4	41	positive	5	33.0	32
4	41	positive	10	36.0	32
4	41	positive	20	39.0	32
5	68	EA_positive	1	32.0	1
5	68	EA_positive	5	47.0	1
5	68	EA_positive	10	57.0	1
5	68	EA_positive	20	58.0	1
5	68	EA_positive	1	32.0	2
5	68	EA_positive	5	47.0	2
5	68	EA_positive	10	57.0	2
5	68	EA_positive	20	59.0	2
5	68	EA_positive	1	32.0	3
5	68	EA_positive	5	48.0	3
5	68	EA_positive	10	57.0	3
5	68	EA_positive	20	59.0	3
5	68	EA_positive	1	32.0	4
5	68	EA_positive	5	48.0	4
5	68	EA_positive	10	57.0	4
5	68	EA_positive	20	59.0	4
5	68	EA_positive	1	32.0	5
5	68	EA_positive	5	49.0	5
5	68	EA_positive	10	57.0	5
5	68	EA_positive	20	59.0	5
5	68	EA_positive	1	32.0	6
5	68	EA_positive	5	49.0	6
5	68	EA_positive	10	57.0	6
5	68	EA_positive	20	59.0	6
5	68	EA_positive	1	32.0	7
5	68	EA_positive	5	49.0	7
5	68	EA_positive	10	57.0	7
5	68	EA_positive	20	59.0	7
5	68	EA_positive	1	32.0	8
5	68	EA_positive	5	49.0	8
5	68	EA_positive	10	57.0	8
5	68	EA_positive	20	59.0	8
5	68	EA_positive	1	32.0	9
5	68	EA_positive	5	48.0	9
5	68	EA_positive	10	57.0	9
5	68	EA_positive	20	59.0	9
5	68	EA_positive	1	32.0	10
5	68	EA_positive	5	48.0	10
5	68	EA_positive	10	57.0	10
5	68	EA_positive	20	59.0	10
5	68	EA_positive	1	32.0	11
5	68	EA_positive	5	48.0	11
5	68	EA_positive	10	57.0	11
5	68	EA_positive	20	59.0	11
5	68	EA_positive	1	32.0	12
5	68	EA_positive	5	48.0	12
5	68	EA_positive	10	57.0	12
5	68	EA_positive	20	59.0	12
5	68	EA_positive	1	32.0	13
5	68	EA_positive	5	48.0	13
5	68	EA_positive	10	57.0	13
5	68	EA_positive	20	59.0	13
5	68	EA_positive	1	32.0	14
5	68	EA_positive	5	48.0	14
5	68	EA_positive	10	57.0	14
5	68	EA_positive	20	59.0	14
5	68	EA_positive	1	32.0	15
5	68	EA_positive	5	48.0	15
5	68	EA_positive	10	57.0	15
5	68	EA_positive	20	59.0	15
5	68	EA_positive	1	32.0	16
5	68	EA_positive	5	48.0	16
5	68	EA_positive	10	57.0	16
5	68	EA_positive	20	59.0	16
5	68	EA_positive	1	32.0	17
5	68	EA_positive	5	48.0	17
5	68	EA_positive	10	57.0	17
5	68	EA_positive	20	59.0	17
5	68	EA_positive	1	32.0	18
5	68	EA_positive	5	48.0	18
5	68	EA_positive	10	57.0	18
5	68	EA_positive	20	59.0	18
5	68	EA_positive	1	32.0	19
5	68	EA_positive	5	48.0	19
5	68	EA_positive	10	57.0	19
5	68	EA_positive	20	59.0	19
5	68	EA_positive	1	32.0	20
5	68	EA_positive	5	48.0	20
5	68	EA_positive	10	57.0	20
5	68	EA_positive	20	59.0	20
5	68	EA_positive	1	32.0	21
5	68	EA_positive	5	48.0	21
5	68	EA_positive	10	57.0	21
5	68	EA_positive	20	59.0	21
5	68	EA_positive	1	32.0	22
5	68	EA_positive	5	48.0	22
5	68	EA_positive	10	57.0	22
5	68	EA_positive	20	59.0	22
5	68	EA_positive	1	32.0	23
5	68	EA_positive	5	48.0	23
5	68	EA_positive	10	57.0	23
5	68	EA_positive	20	59.0	23
5	68	EA_positive	1	32.0	24
5	68	EA_positive	5	48.0	24
5	68	EA_positive	10	57.0	24
5	68	EA_positive	20	59.0	24
5	68	EA_positive	1	32.0	25
5	68	EA_positive	5	48.0	25
5	68	EA_positive	10	57.0	25
5	68	EA_positive	20	60.0	25
5	68	EA_positive	1	32.0	26
5	68	EA_positive	5	48.0	26
5	68	EA_positive	10	57.0	26
5	68	EA_positive	20	59.0	26
5	68	EA_positive	1	32.0	27
5	68	EA_positive	5	48.0	27
5	68	EA_positive	10	57.0	27
5	68	EA_positive	20	59.0	27
5	68	EA_positive	1	32.0	28
5	68	EA_positive	5	48.0	28
5	68	EA_positive	10	57.0	28
5	68	EA_positive	20	59.0	28
5	68	EA_positive	1	32.0	29
5	68	EA_positive	5	48.0	29
5	68	EA_positive	10	57.0	29
5	68	EA_positive	20	59.0	29
5	68	EA_positive	1	32.0	30
5	68	EA_positive	5	48.0	30
5	68	EA_positive	10	57.0	30
5	68	EA_positive	20	59.0	30
5	68	EA_positive	1	32.0	31
5	68	EA_positive	5	48.0	31
5	68	EA_positive	10	57.0	31
5	68	EA_positive	20	59.0	31
5	68	EA_positive	1	32.0	32
5	68	EA_positive	5	48.0	32
5	68	EA_positive	10	57.0	32
5	68	EA_positive	20	59.0	32
6	47	EA_negative	1	19.0	1
6	47	EA_negative	5	30.0	1
6	47	EA_negative	10	34.0	1
6	47	EA_negative	20	39.0	1
6	47	EA_negative	1	19.0	2
6	47	EA_negative	5	30.0	2
6	47	EA_negative	10	34.0	2
6	47	EA_negative	20	39.0	2
6	47	EA_negative	1	19.0	3
6	47	EA_negative	5	30.0	3
6	47	EA_negative	10	34.0	3
6	47	EA_negative	20	39.0	3
6	47	EA_negative	1	19.0	4
6	47	EA_negative	5	30.0	4
6	47	EA_negative	10	34.0	4
6	47	EA_negative	20	39.0	4
6	47	EA_negative	1	19.0	5
6	47	EA_negative	5	30.0	5
6	47	EA_negative	10	34.0	5
6	47	EA_negative	20	39.0	5
6	47	EA_negative	1	19.0	6
6	47	EA_negative	5	30.0	6
6	47	EA_negative	10	34.0	6
6	47	EA_negative	20	39.0	6
6	47	EA_negative	1	19.0	7
6	47	EA_negative	5	30.0	7
6	47	EA_negative	10	34.0	7
6	47	EA_negative	20	39.0	7
6	47	EA_negative	1	19.0	8
6	47	EA_negative	5	30.0	8
6	47	EA_negative	10	34.0	8
6	47	EA_negative	20	39.0	8
6	47	EA_negative	1	19.0	9
6	47	EA_negative	5	30.0	9
6	47	EA_negative	10	34.0	9
6	47	EA_negative	20	39.0	9
6	47	EA_negative	1	19.0	10
6	47	EA_negative	5	30.0	10
6	47	EA_negative	10	34.0	10
6	47	EA_negative	20	39.0	10
6	47	EA_negative	1	19.0	11
6	47	EA_negative	5	30.0	11
6	47	EA_negative	10	34.0	11
6	47	EA_negative	20	39.0	11
6	47	EA_negative	1	19.0	12
6	47	EA_negative	5	30.0	12
6	47	EA_negative	10	34.0	12
6	47	EA_negative	20	39.0	12
6	47	EA_negative	1	19.0	13
