k	top_acc_perc__casmi	top_acc_perc__csi
1	32.0	33.5
2	45.0	45.5
3	54.0	54.50000000000001
4	60.0	60.5
5	65.0	65.7
6	72.0	73.4
7	76.0	75.60000000000001
8	78.0	77.94285714285715
9	80.0	80.28571428571429
10	80.0	80.42857142857143
11	81.0	80.57142857142857
12	82.0	81.71428571428571
13	84.0	83.85714285714285
14	85.0	84.99999999999999
15	85.0	84.99999999999999
16	85.0	84.99999999999999
17	85.0	84.99999999999999
18	85.0	84.99999999999999
19	85.0	84.99999999999999
20	85.0	84.99999999999999
21	85.0	84.99999999999999
22	85.0	84.99999999999999
23	85.0	84.99999999999999
24	85.0	84.99999999999999
25	85.0	84.99999999999999
26	85.0	85.49999999999999
27	86.0	85.99999999999999
28	86.0	85.99999999999999
29	86.0	85.99999999999999
30	86.0	85.99999999999999
31	86.0	86.33333333333331
32	87.0	86.66666666666664
33	87.0	87.14285714285712
34	87.0	87.28571428571426
35	87.0	87.4285714285714
36	89.0	88.57142857142854
37	90.0	89.71428571428568
38	90.0	89.85714285714282
39	91.0	90.99999999999996
40	91.0	90.99999999999996
41	91.0	90.99999999999996
42	91.0	90.99999999999996
43	91.0	90.99999999999996
44	91.0	90.99999999999996
45	91.0	90.99999999999996
46	91.0	90.99999999999996
47	91.0	90.99999999999996
48	91.0	90.99999999999996
49	91.0	90.99999999999996
50	91.0	90.99999999999996
